Sa. 07.09.2019;16:30;403314;42203;HSG Laatzen-Rethen;TuS Bothfeld v. 1904 e.V. II
So. 15.09.2019;11:15;403259;42206;TuS Bothfeld v. 1904 e.V. II;HSG Hannover-West
So. 22.09.2019;14:30;403381;42208;TV E. Sehnde;TuS Bothfeld v. 1904 e.V. II
So. 27.10.2019;09:45;403396;42213;TSV Friesen Hänigsen;TuS Bothfeld v. 1904 e.V. II
Sa. 02.11.2019;16:00;403259;42217;TuS Bothfeld v. 1904 e.V. II;TS Großburgwedel
So. 10.11.2019;12:50;403220;42221;TuS Empelde;TuS Bothfeld v. 1904 e.V. II
So. 17.11.2019;16:00;403256;42225;TSV Anderten II;TuS Bothfeld v. 1904 e.V. II
So. 08.12.2019;15:30;403280;42230;TuS Bothfeld v. 1904 e.V. II;HSG Laatzen-Rethen
Sa. 14.12.2019;17:30;403254;42234;HSG Hannover-West;TuS Bothfeld v. 1904 e.V. II
Sa. 11.01.2020;15:40;403280;42235;TuS Bothfeld v. 1904 e.V. II;TV E. Sehnde
So. 26.01.2020;11:00;403268;42241;TuS Bothfeld v. 1904 e.V. II;TSV Friesen Hänigsen
So. 09.02.2020;10:25;403210;42247;TS Großburgwedel;TuS Bothfeld v. 1904 e.V. II
So. 16.02.2020;11:30;403259;42249;TuS Bothfeld v. 1904 e.V. II;TuS Empelde
So. 01.03.2020;11:00;403259;42252;TuS Bothfeld v. 1904 e.V. II;TSV Anderten II
